::ffff:192.168.0.101 - - [24/Sep/2023:19:45:30 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:46:05 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:46:07 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:46:08 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:46:08 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:46:09 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:46:10 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:49:41 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:49:43 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:49:44 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:49:45 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:49:45 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:49:45 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:55:00 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:55:02 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:55:03 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:55:03 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:55:04 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:55:05 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:56:12 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:56:14 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:56:15 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:56:16 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:56:17 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:56:18 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:57:56 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:57:58 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:57:59 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:57:59 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:58:00 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:58:01 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:59:07 +0000] "GET /api/user/get-notifications HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:59:13 +0000] "GET /api/services/followed-posts?take=20&skip=0 HTTP/1.1" 200 10985 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:59:23 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:00:14 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:00:18 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:00:18 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:00:19 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:00:19 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:00:19 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:01:00 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:01:01 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:01:02 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:01:03 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:01:03 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:01:03 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::1 - - [24/Sep/2023:20:01:21 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::ffff:192.168.0.101 - - [24/Sep/2023:20:03:26 +0000] "GET /api/user/get-follows HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:03:31 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:03:31 +0000] "GET /api/user/token-valid HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:03:31 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:03:31 +0000] "GET /api/user/get-user HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:03:33 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::1 - - [24/Sep/2023:20:04:07 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 25 "-" "PostmanRuntime/7.33.0"
